Date;COD_3 ;SS_3;NO2_3
16.05.2025;64,46280992;9,917355372;
18.05.2025;80,99173554;24,79338843;
20.05.2025;61,15702479;9,504132231;
23.05.2025;68,59504132;11,57024793;
25.05.2025;72,72727273;9,917355372;
27.05.2025;66,11570248;4,958677686;
30.05.2025;60,33057851;9,504132231;
01.06.2025;55,37190083;5,785123967;
03.06.2025;65,2892562;26,44628099;1,58677686
06.06.2025;62,23140496;11,57024793;
08.06.2025;55,37190083;10,33057851;
10.06.2025;57,85123967;11,15702479;
13.06.2025;62,80991736;5,785123967;
15.06.2025;74,04958678;13,2231405;
17.06.2025;52,89256198;8,67768595;
20.06.2025;74,38016529;49,58677686;
22.06.2025;55,37190083;12,39669421;
24.06.2025;73,55371901;15,70247934;
27.06.2025;76,85950413;8,26446281;
29.06.2025;57,85123967;6,280991736;
01.07.2025;77,68595041;23,14049587;1,702479339
04.07.2025;73,55371901;10,74380165;
06.07.2025;47,10743802;4,958677686;
08.07.2025;49,58677686;9,090909091;
11.07.2025;31,40495868;6,611570248;
13.07.2025;35,53719008;10,74380165;
15.07.2025;34,7107438;10,74380165;
18.07.2025;61,98347107;10,33057851;
20.07.2025;65,2892562;5,785123967;
22.07.2025;53,71900826;6,611570248;
25.07.2025;61,15702479;7,024793388;
27.07.2025;54,54545455;24,79338843;
29.07.2025;59,50413223;14,04958678;
01.08.2025;55,53719008;6,611570248;
03.08.2025;66,11570248;9,090909091;
05.08.2025;42,14876033;6,611570248;0,018181818
08.08.2025;37,19008264;6,94214876;
10.08.2025;46,69421488;6,611570248;
12.08.2025;57,02479339;9,917355372;
15.08.2025;55,37190083;14,04958678;
17.08.2025;64,04958678;6,611570248;
19.08.2025;54,54545455;7,851239669;
22.08.2025;55,37190083;15,70247934;
24.08.2025;57,02479339;10,41322314;
29.08.2025;288,4297521;37,19008264;
31.08.2025;90,08264463;24,79338843;
01.09.2025;52,0661157;11,40495868;0,032809917
02.09.2025;55,37190083;19,83471074;
05.09.2025;52,89256198;14,87603306;
07.09.2025;52,89256198;19,00826446;
12.09.2025;73,55371901;20,66115702;
14.09.2025;71,90082645;19,83471074;
21.09.2025;38,84297521;16,52892562;
22.09.2025;63,63636364;;
23.09.2025;151,2396694;33,05785124;
26.09.2025;;;
28.09.2025;52,0661157;10,74380165;
30.09.2025;42,14876033;14,04958678;
03.10.2025;32,23140496;6,280991736;
05.10.2025;27,27272727;6,611570248;
07.10.2025;27,19008264;4,132231405;0,010743802
12.10.2025;36,36363636;6,611570248;
14.10.2025;36,19834711;8,26446281;
17.10.2025;34,46280992;4,958677686;
19.10.2025;33,05785124;6,198347107;
21.10.2025;21,48760331;4,132231405;
24.10.2025;35,04132231;6,611570248;
26.10.2025;38,84297521;5,785123967;
28.10.2025;33,88429752;7,438016529;
31.10.2025;19,00826446;4,132231405;
02.11.2025;34,7107438;7,438016529;
07.11.2025;26,44628099;16,52892562;
09.11.2025;37,19008264;11,57024793;
11.11.2025;42,97520661;6,611570248;0,025619835
14.11.2025;39,66942149;3,719008264;
16.11.2025;41,32231405;8,26446281;
18.11.2025;32,23140496;6,198347107;
21.11.2025;27,52066116;9,504132231;
23.11.2025;20,66115702;6,611570248;
25.11.2025;28,09917355;2,479338843;0,041322314
28.11.2025;22,31404959;5,371900826;
30.11.2025;23,2231405;3,719008264;
02.12.2025;25,61983471;4,132231405;0,112396694
07.12.2025;30,5785124;6,198347107;
09.12.2025;46,28099174;5,785123967;
12.12.2025;21,48760331;4,132231405;
14.12.2025;35,53719008;3,719008264;
16.12.2025;50,74380165;4,132231405;0,092561983
19.12.2025;52,89256198;2,066115702;
21.12.2025;42,97520661;3,140495868;
23.12.2025;27,27272727;4,132231405;
26.12.2025;36,36363636;13,2231405;
28.12.2025;33,88429752;1,239669421;
30.12.2025;40,49586777;6,198347107;
03.01.2026;18,18181818;2,479338843;
04.01.2026;36,36363636;2,892561983;
06.01.2026;25,61983471;4,958677686;
09.01.2026;35,53719008;6,198347107;
11.01.2026;40,49586777;4,958677686;
13.01.2026;45,45454545;4,545454545;0,04214876
16.01.2026;28,92561983;4,545454545;
18.01.2026;23,14049587;2,479338843;
20.01.2026;56,19834711;4,132231405;
